Title,Artist,Year
Give It Away,Red Hot Chili Peppers,1991
Give It To Me,The J. Geils Band,1973
Give It Up,Etta James,1992
Give It Up Or Let Me Go,Bonnie Raitt,1972
Give It Up Or Turn It A Loose,James Brown,1969
Give Me An Inch,Robert Palmer,1975
Give Me Just A Little More Time,Chairmen Of The Board,1970
Give Me Love,George Harrison,1973
Give Me One Reason,Tracy Chapman,1995
Give Peace A Chance,John Lennon,1969
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,1975
Givin' It Up For Your Love,Delbert McClinton,1989
Giving Up The Gun,Vampire Weekend,2010
Glad / Freedom Rider,Traffic,2003
Glad All Over,Dave Clark Five,1963
Glad And Sorry,Faces,1973
Glad Girls,Guided By Voices,2001
Glass Onion,The Beatles,1968
Glendale Train,New Riders Of The Purple Sage,1971
Gloria,Patti Smith,1975
Gloria,Them,1964
Gloria,U2,1981
Glory Days,Bruce Springsteen,1984
Glorified G,Pearl Jam,1993
Go All The Way,The Raspberries,1972
Go Now,The Moody Blues,1965
Go Out,Blur,2015
Go Robot,Red Hot Chili Peppers,2016
Go To The Mardi Gras,Professor Longhair,1991
Go Your Own Way,Fleetwood Mac,1977
God,John Lennon,1970
God Gave Rock And Roll To You,Argent,1974
God Only Knows,The Beach Boys,1966
God Put A Smile On Your Face,Coldplay,2003
God Save The Queen,The Sex Pistols,1977
Goin' Back,Nils Lofgren,1975
Goin' Back To New Orleans,Dr. John,1992
Goin' Down To Laurel,Steve Forbert,1987
Going Back To Georgia,Nanci Griffith,1994
Going Down,Freddie King,1971
Going Down,Jeff Beck,1972
Going Down To Liverpool,Bangles,1984
Going For The One,Yes,1977
Going In The Right Direction,Robert Randolph & The Family Band,2003
Going Mobile,The Who,1971
Going To A Go-Go,Smokey Robinson & The Miracles,1966
Going To California,Led Zeppelin,1971
Going To The Country,Bruce Cockburn,1970
Going To The Country,Steve Miller Band,1970
Going To Town,The Afghan Whigs,1996
Going Underground,The Jam,1980
Going Up The Country,Canned Heat,1968
"Going, Going, Gone",Bob Dylan,1974
Gold Lion,Yeah Yeah Yeahs,2006
Gold On The Ceiling,The Black Keys,2011
Gold Soundz,Pavement,1994
Golden,My Morning Jacket,2003
Golden Age,TV On The Radio,2008
Golden Brown,The Stranglers,1981
Gold Dust Woman,Fleetwood Mac,1977
Golden Lady,Stevie Wonder,1973
Golden Slumbers,The Beatles,1969
Golden Years,David Bowie,1975
Goldfinger,Shirley Bassey,1965
Gone At Last,Paul Simon,1975
Gone Daddy Gone,Violent Femmes,1982
Gone Gone Gone,Bad Company,1979
"Gone, Gone, Gone (Done Moved On)",Robert Plant & Alison Krauss,2007
Gonna Be Some Changes Made,Bruce Hornsby,2004
Gonna Change My Way Of Thinking,Bob Dylan,1979
Gonna Get Ya,Pete Townshend,1980
Gonna Move,Susan Tedeschi,2002
Goo Goo Muck,The Cramps,1980
Good Day Sunshine,The Beatles,1966
Good Enough,Bonnie Raitt,1975
Good Enough,Sarah McLachlan,1993
Good Golly Miss Molly,Little Richard,1958
Good Guys And Bad Guys,Camper Van Beethoven,1987
Good Lovin',Grateful Dead,1978
Good Morning Good Morning,The Beatles,1967
Good Morning Little School Girl,Muddy Waters,1964
Good Music,The Roots,1993
Good People,Jack Johnson,2005
Good Rockin' Daddy,Etta James,1962
Good Rockin' Tonight,Wynonie Harris,1948
Good Rocking Tonight,Roy Brown,1947
Good Shepherd,Jefferson Airplane,1969
Good Thing,Fine Young Cannibals,1988
Good Times Roll,The Cars,1978
"Good Times, Bad Times",Led Zeppelin,1969
Good Vibrations,The Beach Boys,1970
Goodbye,The Sundays,1992
Goodbye Stranger,Supertramp,1979
Goodbye Yellow Brick Road,Elton John,1973
Goodbye's All We've Got Left,Steve Earle,1986
Goodnight Moon,Shivaree,1999
Goodnight Rose,Ryan Adams,2007
Goody Two Shoes,Adam Ant,1982
Goshen '97,Strand Of Oaks,2014
Got Nuffin,Spoon,2009
Got To Get You Into My Life,Earth Wind & Fire,1977
Got To Get You Into My Life,The Beatles,1966
Got To Give It Up,Marvin Gaye,1977
Gotta Get Away,The Black Keys,2014
Gotta Get Back,Shelby Lynne,1999
Gotta Get Up,Harry Nilsson,1994
Gotta Jibboo,Phish,2000
Gotta Serve Somebody,Bob Dylan,1979
Grace,Jeff Buckley,1994
Grace for Saints and Ramblers,Iron And Wine,2013
Graceland,Paul Simon,1986
Gravity,John Mayer,2005
Gravity Fails,The Bottle Rockets,1994
Great Balls Of Fire,Jerry Lee Lewis,1985
Great Big Love,Bruce Cockburn,1991
Green Earrings,Steely Dan,1976
Green-Eyed Lady,Sugarloaf,1970
Green Garden,Laura Mvula,2013
Green Grass & High Tides,The Outlaws,2007
Green Onions,Booker T. & The MG's,1973
Green River,Creedence Clearwater Revival,1976
Green Tambourine,The Lemon Pipers,1988
Greetings To The New Brunette,Billy Bragg,1986
Groove Me,King Floyd,1970
Groovin',The Young Rascals,1967
Growing Up,Bruce Springsteen,1994
Guesthouse,David Wax Museum,2015
Guinnevere,Crosby Stills & Nash,1969
Guitar Town,Steve Earle,1986
"Guitars, Cadillacs",Dwight Yoakam,1986
Gunpowder,Black Joe Lewis & The Honeybears,2008
Gypsy,Fleetwood Mac,1982
Gypsy In Me,Bonnie Raitt,2016
Gypsy Woman,The Impressions,1961
H Gang,Donald Fagen,2006
Had Me A Real Good Time,Faces,1971
Haitian Divorce,Steely Dan,1976
Half A Boy And Half A Man,Nick Lowe,1984
Half Acre,Hem,2000
Half Moon,Janis Joplin,1971
Hallelujah,Jeff Buckley,1994
Hallelujah,Leonard Cohen,1984
Hallelujah,Rufus Wainwright,2001
Hallelujah I Love Her So,Ray Charles,1957
Hammer And A Nail,Indigo Girls,1990
Hand Of Fate,The Rolling Stones,1976
Handbags And Gladrags,Rod Stewart,1969
Handle With Care,Traveling Wilburys,1988
Hands Open,Snow Patrol,2006
Handshake Drugs,Wilco,2002
Hang Fire,The Rolling Stones,1981
Hang Loose,Alabama Shakes,2012
Hang Me Up To Dry,Cold War Kids,2006
Hang On To Your Love,Sade,1984
Hang Onto Yourself,David Bowie,1972
Hang Tough,Crescent City Gold,1997
Hangin' Around,Counting Crows,1999
Hanging On The Telephone,Blondie,1978
Hanging On The Telephone,The Nerves,1976
Happiness Is A Warm Gun,The Beatles,1968
Happiness Is Just Around The Bend,Brian Auger's Oblivion Express,1996
Happy,Pharrell Williams,2013
Happy,The Rolling Stones,1972
Happy Jack,The Who,1968
Happy Time,Tim Buckley,1969
Happy Together,The Turtles,1966
Hard Sun,Eddie Vedder,2007
Hard Times,Boz Scaggs,1977
Hard Times,John Legend & The Roots,2010
Hard Times,Ryan Bingham,2007
Hard To Be,The Vaughan Brothers,1990
Hard to Handle,Otis Redding,1968
Hard to Handle,Patti Drew,1968
Hard to Handle,The Black Crowes,1990
Hard to Handle,Toots Hibbert,1988
Harlem Country Girl,Olu Dara,1998
Harvest Moon,Neil Young,1992
Hasten Down The Wind,Warren Zevon,1976
Hate To See You Go,The Rolling Stones,2016
Have A Cigar,Pink Floyd,1975
Have A Heart,Bonnie Raitt,1989
Have A Little Faith In Me,John Hiatt,1987
Have I The Right,The Honeycombs,1964
Have You Ever Loved A Woman,Derek & The Dominos,1970
Have You Seen Her,The Chi-Lites,1988
Have You Seen Your Mother Baby?,The Rolling Stones,1966
Having A Party,Sam Cooke,1962
He Mandu,Mouth Music,1993
He Was Really Sayin' Somethin',The Velvelettes,1964
Head Home,Midlake,2006
Head On,The Jesus And Mary Chain,1989
Head On,Man Man,2013
Head Like A Hole,Nine Inch Nails,1989
Head Over Heels,JD McPherson,2015
Head Over Heels,Tears For Fears,1985
Head Over Heels,The Go Gos,1984
Heading For The Light,Traveling Wilburys,1988
Headlines,Drake,2011
Heart Full Of Soul,The Yardbirds,1965
Heart Like A Wheel,Kate & Anna McGarrigle,1975
Heart Of Glass,Blondie,1978
Heart Of Gold,Neil Young,1972
Heart Of Stone,The Allman Brothers,2003
Heart Of The Sunrise,Yes,1971
Heartbeat,King Crimson,1982
Heartbeat,Psychedelic Furs,1984
Heartbeats,Jose Gonzalez,2003
Heartbreak A Stranger,Bob Mould,1989
Heartbreak Beat,Psychedelic Furs,1986
Heartbreak Hotel,Elvis Presley,1972
Heartbreaker,Grand Funk Railroad,1969
Heartbreaker,Led Zeppelin,1969
Heart-Shaped Box,Nirvana,1993
Heat Treatment,Graham Parker,1976
Heaven,Los Lonely Boys,2003
Heaven,Psychedelic Furs,1984
Heaven,The Walkmen,2012
Heaven Beside You,Alice In Chains,1995
Heaven Is In Your Mind,Traffic,1967
Heaven Knows I'm Miserable Now,The Smiths,1984
Heaven Right Here,Jeb Loy Nichols,2000
Heavenly Day,Patty Griffin,2007
Heavenly Pop Hit,The Chills,1990
Heavy Metal Drummer,Wilco,2002
Heavy Things,Phish,2000
Hejira,Joni Mitchell,1976
Helen Wheels,Paul McCartney & Wings,1973
Helena Beat,Foster The People,2011
Hell,Squirrel Nut Zippers,1996
Hell In A Bucket,Grateful Dead,1987
Hello,Adele,2015
Hello Goodbye,The Beatles,1967
Hello In There,John Prine,1971
Hello It's Me,Todd Rundgren,1972
Hello Mary Lou,Rick Nelson,1990
Hello Old Friend,Eric Clapton,1976
"Hello, I Love You",The Doors,1968
Help,The Beatles,1965
Help Me,Joni Mitchell,1974
"Help Me, Rhonda",The Beach Boys,1973
Help Me Thru The Night,Joe Walsh,1974
Helpless,Crosby Stills Nash & Young,1970
Helplessly Hoping,Crosby Stills & Nash,1969
Helplessness Blues,Fleet Foxes,2011
Helter Skelter,The Beatles,1968
Her Favorite Song,Mayer Hawthorne,2013
Her Majesty,The Beatles,1969
Hercules,Aaron Neville,1987
Here Come Those Tears Again,Jackson Browne,1976
Here Comes My Girl,Tom Petty & The Heartbreakers,1979
Here Comes The Groom,John Wesley Harding,1989
Here Comes The Night,Them,1965
Here Comes The Rain Again,Eurythmics,1983
Here Comes The Sun,Richie Havens,1970
Here Comes The Sun,The Beatles,1969
Here I Am (Come And Take Me),Al Green,1973
Here In Spirit,Jim James,2016
Here Without You,Gene Clark,2008
"Here, There And Everywhere",The Beatles,1966
Here's Where The Story Ends,The Sundays,1990
Hero In Me,Jeffrey Gaines,1992
Hero Takes A Fall,Bangles,1984
Heroes,David Bowie,1980
Heroes Are Hard To Find,Fleetwood Mac,1974
He's So Fine,The Chiffons,1984
Hey Bo Diddley,Bo Diddley,1957
Hey Bulldog,The Beatles,1969
Hey Hey What Can I Do,Led Zeppelin,1970
"Hey Hey, My My (Into the Black)",Neil Young,1979
Hey Jane,Spiritualized,2012
Hey Jealousy,Gin Blossoms,1989
Hey Joe,Jimi Hendrix,1978
Hey Jude,The Beatles,1968
Hey Jude,Wilson Pickett,1969
Hey Ladies,Beastie Boys,1989
Hey Negrita,The Rolling Stones,1976
Hey Nineteen,Steely Dan,1980
Hey No Pressure,Ray Lamontagne,2016
Hey Now,Talking Heads,1986
Hey Pocky Way,Neville Brothers,1988
Hey There Lonely Girl,Eddie Holman,1969
Hey Tonight,Creedence Clearwater Revival,1970
Hey Western Union Man,Jerry Butler,1968
Hey You,Pink Floyd,1979
"Hey, Soul Sister",Train,2010
Hi Hi Hi,Paul McCartney & Wings,1993
Hickory Wind,The Byrds,1968
Hide and Seek,Imogen Heap,2005
Hide It Away,Richard Thompson,1996
High,The Cure,1991
High And Dry,Radiohead,1995
High By The Beach,Lana Del Rey,2015
High Lonesome,The Gaslight Anthem,2008
High Time We Went,Joe Cocker,1972
Higher Ground,Blind Boys Of Alabama,2002
Higher Ground,Stevie Wonder,1973
Higher Love,Steve Winwood,1986
Highway 61 Revisited,Bob Dylan,1965
Highway 61 Revisited,Johnny Winter,1976
Highway Patrolman,Bruce Springsteen,1982
Hip Hug-Her,Booker T. & The MG's,1967
Hissing Of Summer Lawns,Joni Mitchell,1975
History Eraser,Courtney Barnett,2012
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads,1981
Hit The Ground Running,Jonny Lang,1996
Hit The Road Jack,Ray Charles,1962
Hitchcock Railway,Joe Cocker,1969
Hitchhike,Marvin Gaye,1989
Hitchin' A Ride,Vanity Fare,1969
Hitsville U.k.,The Clash,1980
Ho Hey,The Lumineers,2012
Hockey Skates,Kathleen Edwards,2002
Hocus Pocus,Focus,1971
Hoedown,Emerson Lake & Palmer,1972
"Hold It Now, Hit It",Beastie Boys,1986
Hold Me Now,The Thompson Twins,1984
Hold On,Alabama Shakes,2011
Hold On,Ian Gomm,1978
Hold On,K. T. Tunstall,2007
Hold On,Sarah McLachlan,1993
Hold On,Steve Winwood,1977
"Hold On, Hold On",Neko Case,2006
"Hold On, I'm Comin'",Sam & Dave,1985
Hold Out,Jackson Browne,1980
Hold Your Head Up,Argent,1972
Holdin' On To Black Metal,My Morning Jacket,2011
Holdin' On To Yesterday,Ambrosia,1975
Holding On For Life,Broken Bells,2013
Holiday,Vampire Weekend,2010
Holiday Inn,Elton John,1971
Holiday Road,Lindsey Buckingham,1983
Hollywood,Boz Scaggs,1971
Hollywood,Red Hot Chili Peppers,1985
Hollywood Forever Cemetary Sings,Father John Misty,2013
Holocene,Bon Iver,2011
Home,Edward Sharpe & The Magnetic Zeros,2009
Home,Karla Bonoff,1977
Home,LCD Soundsystem,2010
Home,Marc Broussard,2004
Home,Zero 7,2004
Home (Leave The Lights On),Field Report,2014
Homegrown,Neil Young,1977
Homeward Bound,Simon & Garfunkel,1966
Homework,Otis Rush,1989
Honaloochie Boogie,Mott The Hoople,1973
Honest With Me,Bob Dylan,2001
Honey And The Moon,Joseph Arthur,2002
Honey Pie,The Beatles,1968
Hong Kong Garden,Siouxsie & The Banshees,1978
Honky Cat,Elton John,1972
Honky Tonk Woman,The Pogues,1988
Honky Tonk Women,The Rolling Stones,1970
Hoodoo Voodoo,Billy Bragg & Wilco,1998
Hook,Blues Traveler,1994
Hooky Junk,The Gourds,2006
Hope,Jack Johnson,2000
Hope In A Hopeless World,Widespread Panic,1997
Hope You're Feeling Better,Santana,1970
Horchata,Vampire Weekend,2009
Hot Burrito #1,The Flying Burrito Brothers,1974
Hot Burrito #2,The Flying Burrito Brothers,1969
Hot Fun In The Summertime,Sly & The Family Stone,1969
Hot Pants,James Brown,1986
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,1971
Hot Smoke & Sassafrass,Bubble Puppy,1969
Hot Stuff,The Rolling Stones,1976
Hot Summer Day,It's A Beautiful Day,1969
Hotel California,Gipsy Kings,1990
Hotel California,The Eagles,1976
Hotel Illness,The Black Crowes,1992
Hound Dog,Elvis Presley,1970
Hounds Of Love,Kate Bush,1985
House,Psychedelic Furs,1984
House Of The Rising Sun,The Animals,1964
House We Used To Live In,The Smithereens,1988
Houses In Motion,Talking Heads,1980
Houses Of The Holy,Led Zeppelin,1975
How Can You Live In The Northeast?,Paul Simon,2006
How Can You Mend A Broken Heart,Bee Gees,1971
How Can You Mend A Broken Heart,Al Green,1972
How Come,Ray Lamontagne,2004
How Come You Never Go There,Feist,2011
How Deep Is Your Love,Bee Gees,1977
How Deep Is Your Love?,Jonatha Brooke,2001
How Do You Sleep?,John Lennon,1971
How Do You Stop,Joni Mitchell,1994
How Long,ACE,1974
How Long Will I Love You,The Waterboys,1989
How Soon Is Now,The Smiths,1985
How Sweet It Is,Marvin Gaye,1966
How The West Was Won And Where It Got Us,R. E. M.,1996
How To Save A Life,The Fray,2006
How You Like Me Now?,The Heavy,2001
Howlin' For You,The Black Keys,2010
Human,The Human League,1986
Human,The Killers,2008
Human,The Pretenders,1999
Human Behavior,Bjork,1996
Human Wheels,John Mellencamp,1993
Hungry Heart,Bruce Springsteen,1986
Hungry Like The Wolf,Duran Duran,1982
Hunter,Dido,1999
Hurricane Season,Trombone Shorty,2010
Hurricane Waters,Citizen Cope,2004
Hurry Tomorrow,Los Lobos,2004
Hurt,Johnny Cash,1978
Hush,Deep Purple,1973
Hyper Ballad,Bjork,1995
Hypnotized,Fleetwood Mac,1973
I Against I,Bad Brains,1986
I Ain't Gonna Stand For It,Stevie Wonder,1980
I Ain't Got You,The Yardbirds,1964
I Ain't Living Long Like This,Rodney Crowell,1978
I Ain't Marching Anymore,Phil Ochs,1965
I Ain't Searchin,The American Dream,1970
I Ain't Superstitious,Jeff Beck,1968
I Ain't Superstitious,Willie Dixon,1970
I Ain't Superstitious,Howlin' Wolf,1962
I Alone,Live,1994
I Am A Child,Buffalo Springfield,1968
I Am A Man Of Constant Sorrow,Soggy Bottom Boys,2000
I Am A Rock,Simon & Garfunkel,1966
I Am So Ordinary,Paula Cole,1994
I Am The Cosmos,Chris Bell,1978
I Am The Walrus,The Beatles,1967
I Am Trying To Break Your Heart,JC Brooks & The Uptown Sound,2010
I Am Trying To Break Your Heart,Wilco,2002
I And Love and You,The Avett Brothers,2009
I Been Hoodood,Dr. John,1973
I Believe In A Thing Called Love,The Darkness,2002
I Believe In You,Neil Young,1970
I Bet You Look Good On The Dancefloor,Arctic Monkeys,2004
I Blew It Off,Punch Brothers,2015
I Call Your Name,The Beatles,1964
I Came To Dance,Nils Lofgren,1977
I Can Feel The Fire,Ron Wood,1974
I Can Help,Billy Swan,1974
I Can See Clearly Now,Johnny Nash,1972
I Can See For Miles,The Who,1967
I Can't Be Satisfied,Muddy Waters,1977
I Can't Explain,The Who,1979
I Can't Get Next To You,Al Green,1971
I Can't Get Next To You,The Temptations,1969
I Can't Give Everything Away,David Bowie,2016
I Can't Go For That,Hall & Oates,1985
"I Can't Help Myself (sugar Pie, Honey Bunch)",Four Tops,1974
I Can't Live Without My Radio,LL Cool J,1985
I Can't Quit Her,Blood Sweat & Tears,1968
I Can't Quit You Baby,Led Zeppelin,1969
I Can't Stand It,Eric Clapton,1981
I Can't Stand The Rain,Ann Peebles,1974
I Can't Stand Up,Sam & Dave,1967
I Can't Stand Up For Falling Down,Elvis Costello,1980
I Can't Stop,Al Green,2003
I Can't Stop Dancing,Archie Bell & The Drells,1968
I Can't Stop Thinking About You,Sting,2016
I Can't Take It,Cheap Trick,1983
I Can't Turn You Loose,Otis Redding,1965
I Can't Wait To Get Off Work,Tom Waits,1976
I Can't Wake Up to Save My Life,Richard Thompson,1994
I Confess,The English Beat,1982
I Did It,Dave Matthews Band,2001
I Dig Love,George Harrison,1970
I Dig Rock And Roll Music,Peter Paul & Mary,1967
I Dig Your Wig,Ben Vaughn,1992
I Do The Rock,Tim Curry,1979
I Don't Believe A Word You Say,Ben Harper & Charlie Musselwhite,2013
I Don't Care Anymore,Phil Collins,1982
I Don't Know What It Is,Rufus Wainwright,2003
I Don't Like Mondays,The Boomtown Rats,1988
I Don't Need No Doctor,Ray Charles,1966
I Don't Remember,Peter Gabriel,1980
I Don't Sleep I Dream,R. E. M.,1994
I Don't Wanna Know,Dr. John,1998
I Don't Want To Go Home,Southside Johnny & The Asbury Jukes,1976
I Don't Want To Know,Fleetwood Mac,1977
I Don't Want To Wait,Paula Cole,1996
I Fall To Pieces,Patsy Cline,1961
I Feel Alright,Steve Earle,2000
I Feel Fine,The Beatles,1964
I Feel Free,Cream,1966
I Feel Good,James Brown,1993
I Feel Like I'm Fixin' To Die Rag,Country Joe & The Fish,1967
I Feel So Good,Richard Thompson,1991
I Feel The Earth Move,Carole King,1971
I Fought The Law,The Bobby Fuller Four,1965
I Fought The Law,The Clash,1979
I Found You,Alabama Shakes,2011
I Give You Give Blind,Crosby Stills & Nash,1977
I Go To Sleep,The Pretenders,1981
I Got A Line On You,Spirit,1969
I Got A Woman,Elvis Presley,1956
I Got A Woman,Ray Charles,1954
I Got Loaded,Los Lobos,1984
I Got Love If You Want It,Slim Harpo,1957
I Got The News,Steely Dan,1977
I Got You,Split Enz,1979
I Got You Babe,Sonny & Cher,1965
I Gotcha,Joe Tex,1972
I Had Too Much To Dream (Last Night),The Electric Prunes,1966
I Have The Touch,Peter Gabriel,1982
I Hear A Symphony,The Supremes,1965
I Hear You Knockin',Dave Edmunds,1989
I Heard It Through The Grapevine,Creedence Clearwater Revival,1970
I Heard It Through The Grapevine,Marvin Gaye,1968
I Hope That I Don't Fall In Love With You,Tom Waits,1973
I Just Wanna Stop,Gino Vannelli,1978
I Just Want To Be Your Everything,Andy Gibb,1977
I Just Want To See His Face,The Rolling Stones,1972
I Just Wanted To See You So Bad,Lucinda Williams,1988
I Just Wasn't Made For These Times,The Beach Boys,1966
I Keep Forgettin',Chuck Jackson,1962
I Keep Forgettin',Michael McDonald,1982
I Kissed a Girl,Jill Sobule,1995
I Knew The Bride (When She Used To Rock & Roll),Dave Edmunds,1981
I Knew The Bride When She Used To Rock & Roll,Nick Lowe,1985
I Know,Bonnie Raitt,1972
I Know,Shovels & Rope,2016
I Know A Little,Lynyrd Skynyrd,1977
I Know It's Wrong (But That's Alright),Hurray For The Riff Raff,2013
I Know There's An Answer,The Beach Boys,1966
I Know What Boys Like,The Waitresses,1982
I Know What I Like,Genesis,1973
I Know You Got Soul,Bobby Byrd,1971
I Learned The Hard Way,Sharon Jones And The Dap-Kings,2010
I Left My Heart In San Francisco,Tony Bennett,1965
I Left My Wallet In El Segundo,A Tribe Called Quest,1989
I Live Alone,Sonia Dada,1992
I Looked Away,Derek & The Dominos,1970
I Love A Man In Uniform,Gang Of Four,1994
I Love Music,The O'Jays,1975
I Love Rock & Roll,Joan Jett And The Blackhearts,2007
I Love You Goodbye,Thomas Dolby,1992
I Love You More Than You'll Ever Know,Blood Sweat & Tears,1968
I Love You Suzanne,Lou Reed,1984
I Loves You Porgy,Nina Simone,1966
I Me Mine,The Beatles,1970
I Melt With You,Modern English,1982
I Melt With You,Nouvelle Vague,2004
I Might,Wilco,2011
I Might Be Crying,Tanita Tikaram,1995
I Might Be Wrong,Radiohead,2001
I Misunderstood,Richard Thompson,1991
I Must Be High,Wilco,1995
I Need A Beat,LL Cool J,1985
I Need A Man To Love,Big Brother & The Holding Company,1968
I Need A Miracle,Grateful Dead,1978
I Need Love,LL Cool J,1987
I Need Love,Luka Bloom,1992
I Need Love,Sam Phillips,1994
I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,2015
I Need To Know,Tom Petty & The Heartbreakers,1978
I Need You,The Beatles,1965
I Need Your Love In My Life,Solomon Burke,2005
I Never Loved a Man (The Way I Love You),Aretha Franklin,1967
I Only Have Eyes For You,The Flamingos,1959
I Only Want To Be With You,Dusty Springfield,1963
I Pity The Fool,"Bobby ""Blue"" Bland",1961
I Put A Spell On You,Screamin' Jay Hawkins,1957
I Ran (So Far Away),A Flock Of Seagulls,1982
I Robot,The Alan Parsons Project,1977
I Saw the Light,Todd Rundgren,1972
I Say A Little Prayer,Dionne Warwick,1986
I Scare Myself,Dan Hicks & The Hot Licks,1969
I Second That Emotion,Smokey Robinson & The Miracles,1967
I See The Light,Hot Tuna,1973
I Shall Be Released,The Band,1968
I Shot The Sheriff,Bob Marley & The Wailers,1973
I Shot The Sheriff,Eric Clapton,1974
I Should Have Known Better,The Beatles,1964
I Started A Joke,Bee Gees,1968
I Still Haven't Found What I'm Looking For,U2,1987
I Still Miss Someone,Johnny Cash,1963
I Talk To The Wind,King Crimson,1969
I Thank You,Bonnie Raitt,1979
I Thank You,Sam & Dave,1968
I Thank You,ZZ Top,1979
I Think It's Going To Rain Today,Randy Newman,1968
I Think She Likes Me,Treat Her Right,1986
I Think We're Alone Now,Tommy James & The Shondells,1967
I Thought I Was A Child,Jackson Browne,1973
I Touch Myself,Divinyls,1990
I Try,Macy Gray,1999
I Turn My Camera On,Spoon,2005
I Used To Could,Mark Knopfler,2012
I Walk On Gilded Splinters,Dr. John,2001
I Walk The Line,Johnny Cash,1964
I Wanna Be Adored,The Stone Roses,1989
I Wanna Be Sedated,The Ramones,1999
I Wanna Be With You,The Raspberries,1972
I Wanna Be Your Lover,Prince,1979
I Wanna Destroy You,The Soft Boys,1980
I Wanna Marry You,Bruce Springsteen,1980
I Wanna Stay Home,Jellyfish,1990
I Want Candy,Bow Wow Wow,1982
I Want Candy,The Strangeloves,1965
I Want To Hold Your Hand,The Beatles,1965
I Want To See The Bright Lights Tonight,Richard Thompson,1976
I Want To Sing That Rock And Roll,Gillian Welch,2001
I Want To Take You Higher,Sly & The Family Stone,1969
I Want To Tell You,The Beatles,1966
I Want You,Bob Dylan,1966
I Want You (She's So Heavy),The Beatles,1969
I Want You Back,Hoodoo Gurus,1984
I Want You Back,Jackson 5,1970
I Want You Bad,NRBQ,1989
I Want You To Want Me,Cheap Trick,1977
I Was A Lover,TV On The Radio,2006
I Was Made To Love Her,Stevie Wonder,1974
I Will Dare,The Replacements,1984
I Will Follow,U2,1980
I Will Possess Your Heart,Death Cab For Cutie,2008
I Will Survive,Cake,1996
I Will Survive,Gloria Gaynor,1977
I Will Wait,Mumford & Sons,2012
I Wish,Stevie Wonder,1976
I Wish It Would Rain,The Temptations,1968
I Won't Back Down,Tom Petty,1989
I Would Die 4 U,Prince & The Revolution,1984
I Wouldn't Want To Be Like You,The Alan Parsons Project,1977
I Zimbra,Talking Heads,1979
I.G.Y.,Donald Fagen,1982
I-76,G Love & Special Sauce,1997
Ice Cream,Battles,2011
Icehouse,Icehouse,1981
I'd Have You Anytime,George Harrison,1970
I'd Love To Change The World,Ten Years After,1971
I'd Rather Go Blind,Etta James,1967
I'd Run Away,The Jayhawks,1995
I'd Wait A Million Years,The Grass Roots,1969
Idiot Wind,Bob Dylan,1975
If A Tree Falls,Bruce Cockburn,1988
If I Can't Change Your Mind,Sugar,1992
If I Could Build My Whole World Around You,Marvin Gaye & Tammi Terrell,1967
If I Didn't Love You,Squeeze,1980
If I Ever Lose My Faith In You,Sting,1993
If I Fell,The Beatles,1964
"If I Had $1,000,000",Barenaked Ladies,1989
If I Had A Boat,Lyle Lovett,1987
If I Had A Hammer (the Hammer Song),Pete Seeger,1982
If I Had A Rocket Launcher,Bruce Cockburn,1984
If I Had My Way,Robert Randolph & The Family Band,2010
If I Loved You,Delta Rae,2012
If I Needed Someone,The Beatles,1965
If I Should Fall Behind,Bruce Springsteen,1992
If I Wanted Someone,Dawes,2011
If I Were A Carpenter,Tim Hardin,1967
If It Makes You Happy,Sheryl Crow,1996
If Not For You,Bob Dylan,1970
If Not For You,George Harrison,1970
If That's Your Boyfriend (He Wasn't Last Night),Me'shell Ndegeocello,1993
If There's Love,Citizen Cope,2002
If You Can't Rock Me,The Rolling Stones,1974
If You Can't Say No,Lenny Kravitz,1998
If You Could Read My Mind,Gordon Lightfoot,1970
IF You Have Ghosts,Roky Erickson & The Aliens,1981
If You Love Somebody,Sting,1985
If You Leave Me Now,Chicago,1976
If You Really Love Me,Stevie Wonder,1971
If You Really Want To Be My Friend,The Rolling Stones,1974
If You Want Me To Stay,Sly & The Family Stone,1973
If You Want My Love,Cheap Trick,1991
If You Want To Get To Heaven,Ozark Mountain Daredevils,1994
If You're Ready (Come Go With Me),The Staple Singers,1973
Iko Iko,Dr. John,1972
I'll Always Love My Mama,The Intruders,1973
I'll Be Around,The Spinners,1973
I'll Be Long Gone,Boz Scaggs,1969
I'll Be There,Jackson 5,1970
I'll Be You,The Replacements,1989
I'll Be Your Baby Tonight,Bob Dylan,1967
I'll Be Your Mirror,The Velvet Underground & Nico,1966
I'll Go Crazy If I Don't Go Crazy Tonight,U2,2009
I'll Never Fall In Love Again,Dionne Warwick,1970
I'll Sleep When I'm Dead,Warren Zevon,1976
I'll Take You There,The Staple Singers,1972
Illegal Smile,John Prine,1971
I'm A Believer,The Monkees,1966
I'm A Believer,Tin Huey,1979
I'm A Loser,The Beatles,1964
I'm A Love You,Jimmy Reed,1961
I'm A Man,Chicago Transit Authority,1969
I'm A Man,The Spencer Davis Group,1967
I'm A Midnight Mover,Wilson Pickett,1987
I'm A Rocker,Bruce Springsteen,1980
I'm Alive,Jackson Browne,1993
